event_id,feeder_id,trip_start_time,trip_end_time,fault_description
EVT_000022,FDR_018,13/03/2000 10:00,14/03/2000 00:00,Cable joint failure suspected
EVT_000022_DUP,FDR_018,13/03/2000 10:02,14/03/2000 00:00,Duplicate trip record from control system
EVT_000023,FDR_017,03/11/2000 09:00,03/11/2000 21:00,HV trip – limited historical detail
EVT_000024,FDR_023,02/02/2000 08:00,02/02/2000 13:00,HV trip – limited historical detail
EVT_000024_DUP,FDR_023,02/02/2000 08:02,02/02/2000 13:00,Duplicate trip record from control system
EVT_000025,FDR_001,11/09/2000 21:00,12/09/2000 00:00,Conductor damage mid span
EVT_000026,FDR_017,09/04/2000 09:00,09/04/2000 17:00,HV trip – limited historical detail
EVT_000027,FDR_004,14/08/2000 19:00,15/08/2000 04:00,HV trip – limited historical detail
EVT_000028,FDR_003,21/11/2000 12:00,21/11/2000 19:00,HV trip – limited historical detail
EVT_000029,FDR_025,30/11/2000 13:00,30/11/2000 22:00,HV trip – limited historical detail
EVT_000030,FDR_008,20/01/2000 07:00,20/01/2000 11:00,HV trip – limited historical detail
EVT_000031,FDR_018,16/01/2000 01:00,16/01/2000 05:00,"Storm-related outage, multiple spans affected"
EVT_000032,FDR_006,04/06/2000 03:00,04/06/2000 08:00,HV trip – limited historical detail
EVT_000033,FDR_024,04/07/2000 04:00,04/07/2000 12:00,Insulator failure reported on cross-arm
EVT_000034,FDR_013,13/10/2000 06:00,13/10/2000 13:00,Conductor damage mid span
EVT_000035,FDR_016,24/02/2000 04:00,24/02/2000 06:00,HV trip – limited historical detail
EVT_000036,FDR_015,23/09/2000 11:00,23/09/2000 16:00,UG cable insulation breakdown
EVT_000036_DUP,FDR_015,23/09/2000 11:02,23/09/2000 16:00,Duplicate trip record from control system
EVT_000037,FDR_025,18/02/2000 18:00,19/02/2000 05:00,Cable joint failure suspected
EVT_000038,FDR_013,02/04/2000 13:00,02/04/2000 16:00,"HV trip – cause unclear, no defects found"
EVT_000038_DUP,FDR_013,02/04/2000 13:02,02/04/2000 16:00,Duplicate trip record from control system
EVT_000039,FDR_003,18/06/2000 01:00,18/06/2000 03:00,Conductor damage mid span
EVT_000040,FDR_013,31/01/2000 01:00,31/01/2000 04:00,HV trip – limited historical detail
EVT_000040_DUP,FDR_013,31/01/2000 01:02,31/01/2000 04:00,Duplicate trip record from control system
EVT_000041,FDR_015,16/04/2001 07:00,16/04/2001 11:00,Squirrel on cross-arm causing fault
EVT_000041_DUP,FDR_015,16/04/2001 07:02,16/04/2001 11:00,Duplicate trip record from control system
EVT_000042,FDR_001,30/05/2001 10:00,30/05/2001 21:00,HV trip – limited historical detail
EVT_000042_DUP,FDR_001,30/05/2001 10:02,30/05/2001 21:00,Duplicate trip record from control system
EVT_000043,FDR_018,03/02/2001 03:00,03/02/2001 07:00,Cable joint failure suspected
EVT_000043_DUP,FDR_018,03/02/2001 03:02,03/02/2001 07:00,Duplicate trip record from control system
EVT_000044,FDR_020,25/11/2001 17:00,25/11/2001 22:00,HV trip – limited historical detail
EVT_000045,FDR_014,18/01/2001 19:00,19/01/2001 00:00,Cable joint failure suspected
EVT_000046,FDR_001,28/11/2001 09:00,28/11/2001 11:00,Cable joint failure suspected
EVT_000047,FDR_004,02/11/2001 23:00,03/11/2001 08:00,HV trip – limited historical detail
EVT_000048,FDR_014,04/09/2001 09:00,04/09/2001 20:00,HV trip – limited historical detail
EVT_000049,FDR_001,17/11/2001 21:00,18/11/2001 00:00,HV trip – limited historical detail
EVT_000050,FDR_023,06/11/2001 03:00,06/11/2001 08:00,HV trip – limited historical detail
EVT_000051,FDR_012,08/03/2001 08:00,08/03/2001 15:00,Conductor damage mid span
EVT_000052,FDR_004,08/12/2001 17:00,08/12/2001 19:00,HV trip – limited historical detail
EVT_000053,FDR_025,03/12/2001 09:00,03/12/2001 17:00,HV trip – limited historical detail
EVT_000053_DUP,FDR_025,03/12/2001 09:02,03/12/2001 17:00,Duplicate trip record from control system
EVT_000054,FDR_004,14/08/2001 12:00,15/08/2001 02:00,Unknown cause – reset successful
EVT_000055,FDR_005,18/07/2001 00:00,18/07/2001 07:00,Insulator failure reported on cross-arm
EVT_000056,FDR_003,31/03/2001 17:00,31/03/2001 22:00,"Storm-related outage, multiple spans affected"
EVT_000057,FDR_003,13/01/2001 03:00,13/01/2001 16:00,Squirrel on cross-arm causing fault
EVT_000058,FDR_018,07/04/2001 09:00,07/04/2001 14:00,"Storm-related outage, multiple spans affected"
EVT_000059,FDR_022,16/03/2001 09:00,16/03/2001 14:00,"HV trip – cause unclear, no defects found"
EVT_000060,FDR_014,03/02/2001 04:00,03/02/2001 07:00,HV trip – limited historical detail
EVT_000061,FDR_015,24/10/2001 06:00,24/10/2001 13:00,"Storm-related outage, multiple spans affected"
EVT_000062,FDR_012,08/02/2001 06:00,08/02/2001 08:00,UG cable strike during excavation works
EVT_000063,FDR_007,12/12/2001 01:00,12/12/2001 04:00,"HV trip – cause unclear, no defects found"
EVT_000063_DUP,FDR_007,12/12/2001 01:02,12/12/2001 04:00,Duplicate trip record from control system
EVT_000064,FDR_014,30/08/2001 19:00,31/08/2001 02:00,Cable joint failure suspected
EVT_000065,FDR_014,03/12/2001 21:00,03/12/2001 23:00,HV trip – limited historical detail
EVT_000066,FDR_005,28/12/2001 21:00,29/12/2001 07:00,UG cable insulation breakdown
EVT_000067,FDR_006,01/10/2001 16:00,02/10/2001 06:00,HV trip – limited historical detail
EVT_000068,FDR_001,25/10/2001 19:00,26/10/2001 07:00,Insulator failure reported on cross-arm
EVT_000069,FDR_021,10/10/2001 15:00,10/10/2001 16:00,HV trip – limited historical detail
EVT_000070,FDR_018,16/10/2001 18:00,17/10/2001 05:00,HV trip – limited historical detail
EVT_000070_DUP,FDR_018,16/10/2001 18:02,17/10/2001 05:00,Duplicate trip record from control system
EVT_000071,FDR_002,27/10/2001 03:00,27/10/2001 11:00,"Storm-related outage, multiple spans affected"
EVT_000072,FDR_004,03/12/2001 19:00,03/12/2001 21:00,Conductor damage mid span
EVT_000073,FDR_023,20/02/2001 15:00,21/02/2001 00:00,Tree contact on overhead line during high winds
EVT_000074,FDR_011,06/11/2001 20:00,07/11/2001 10:00,"Storm-related outage, multiple spans affected"
EVT_000075,FDR_022,04/09/2001 05:00,04/09/2001 09:00,Insulator failure reported on cross-arm
EVT_000076,FDR_005,08/07/2001 01:00,08/07/2001 04:00,Insulator failure reported on cross-arm
EVT_000077,FDR_006,13/10/2001 07:00,13/10/2001 16:00,"HV trip – cause unclear, no defects found"
EVT_000078,FDR_022,03/01/2001 15:00,03/01/2001 18:00,HV trip – limited historical detail
EVT_000079,FDR_016,22/07/2001 10:00,22/07/2001 11:00,"Storm-related outage, multiple spans affected"
EVT_000079_DUP,FDR_016,22/07/2001 10:02,22/07/2001 11:00,Duplicate trip record from control system
EVT_000080,FDR_011,16/08/2001 14:00,16/08/2001 15:00,HV trip – limited historical detail
EVT_000081,FDR_023,08/10/2001 22:00,09/10/2001 09:00,Unknown cause – reset successful
EVT_000082,FDR_023,24/06/2002 21:00,25/06/2002 01:00,Insulator failure reported on cross-arm
EVT_000083,FDR_022,29/08/2002 13:00,30/08/2002 00:00,Squirrel on cross-arm causing fault
EVT_000084,FDR_009,02/07/2002 17:00,02/07/2002 22:00,HV trip – limited historical detail
EVT_000084_DUP,FDR_009,02/07/2002 17:02,02/07/2002 22:00,Duplicate trip record from control system
EVT_000085,FDR_018,07/03/2002 16:00,07/03/2002 17:00,UG cable strike during excavation works
EVT_000086,FDR_003,07/04/2002 05:00,07/04/2002 11:00,Conductor damage mid span
EVT_000086_DUP,FDR_003,07/04/2002 05:02,07/04/2002 11:00,Duplicate trip record from control system
EVT_000087,FDR_003,03/07/2002 16:00,03/07/2002 23:00,HV trip – limited historical detail
EVT_000088,FDR_006,08/04/2002 02:00,08/04/2002 16:00,Conductor damage mid span
EVT_000089,FDR_015,21/01/2002 13:00,21/01/2002 14:00,Conductor damage mid span
EVT_000090,FDR_024,20/06/2002 11:00,20/06/2002 17:00,HV trip – limited historical detail
EVT_000091,FDR_017,14/06/2002 01:00,14/06/2002 15:00,HV trip – limited historical detail
EVT_000092,FDR_011,06/11/2002 15:00,06/11/2002 21:00,Insulator failure reported on cross-arm
EVT_000093,FDR_007,19/06/2002 07:00,19/06/2002 19:00,Bird strike on overhead conductor
EVT_000094,FDR_006,11/04/2002 14:00,11/04/2002 22:00,Swan strike mid span over river
EVT_000095,FDR_009,12/08/2002 23:00,13/08/2002 04:00,Conductor damage mid span
EVT_000096,FDR_020,14/06/2002 12:00,14/06/2002 22:00,HV trip – limited historical detail
EVT_000097,FDR_006,23/12/2002 13:00,24/12/2002 02:00,Tree contact on overhead line during high winds
EVT_000098,FDR_025,29/05/2002 05:00,29/05/2002 14:00,Conductor damage mid span
EVT_000099,FDR_019,17/07/2002 17:00,17/07/2002 19:00,Cable joint failure suspected
EVT_000100,FDR_019,07/03/2002 04:00,07/03/2002 17:00,HV trip – limited historical detail
EVT_000101,FDR_008,10/11/2002 06:00,10/11/2002 11:00,Insulator failure reported on cross-arm
EVT_000102,FDR_025,09/04/2002 19:00,10/04/2002 03:00,Insulator failure reported on cross-arm
EVT_000103,FDR_006,16/06/2002 01:00,16/06/2002 03:00,HV trip – limited historical detail
EVT_000104,FDR_015,11/08/2002 05:00,11/08/2002 07:00,"HV trip – cause unclear, no defects found"
EVT_000105,FDR_004,01/08/2002 04:00,01/08/2002 08:00,Bird strike on overhead conductor
EVT_000106,FDR_012,24/07/2002 00:00,24/07/2002 10:00,Swan strike mid span over river
EVT_000107,FDR_019,15/03/2002 06:00,15/03/2002 10:00,UG cable insulation breakdown
EVT_000108,FDR_019,26/12/2002 06:00,26/12/2002 09:00,Bird strike on overhead conductor
EVT_000109,FDR_004,04/06/2002 20:00,04/06/2002 23:00,Swan strike mid span over river
EVT_000110,FDR_022,27/07/2002 07:00,27/07/2002 16:00,Bird strike on overhead conductor
EVT_000111,FDR_023,09/02/2002 08:00,09/02/2002 13:00,HV trip – limited historical detail
EVT_000112,FDR_007,08/04/2002 00:00,08/04/2002 11:00,Foil balloon contact on overhead line
EVT_000113,FDR_016,06/02/2002 05:00,06/02/2002 13:00,Cable joint failure suspected
EVT_000114,FDR_025,19/08/2002 20:00,19/08/2002 21:00,HV trip – limited historical detail
EVT_000115,FDR_024,28/08/2002 09:00,28/08/2002 11:00,Swan strike mid span over river
EVT_000116,FDR_004,29/04/2002 11:00,29/04/2002 23:00,HV trip – limited historical detail
EVT_000117,FDR_012,11/07/2002 14:00,11/07/2002 22:00,HV trip – limited historical detail
EVT_000118,FDR_011,16/04/2002 23:00,17/04/2002 07:00,"Storm-related outage, multiple spans affected"
EVT_000119,FDR_024,08/08/2002 11:00,08/08/2002 18:00,Conductor damage mid span
EVT_000120,FDR_013,01/10/2002 22:00,02/10/2002 05:00,Foil balloon contact on overhead line
EVT_000121,FDR_016,26/04/2002 21:00,27/04/2002 07:00,Conductor damage mid span
EVT_000122,FDR_011,31/12/2002 00:00,31/12/2002 11:00,Swan strike mid span over river
EVT_000122_DUP,FDR_011,31/12/2002 00:02,31/12/2002 11:00,Duplicate trip record from control system
EVT_000123,FDR_001,13/05/2002 04:00,13/05/2002 17:00,HV trip – limited historical detail
EVT_000124,FDR_006,04/05/2003 16:00,04/05/2003 19:00,Conductor damage mid span
EVT_000125,FDR_002,15/07/2003 18:00,16/07/2003 01:00,UG cable insulation breakdown
EVT_000125_DUP,FDR_002,15/07/2003 18:02,16/07/2003 01:00,Duplicate trip record from control system
EVT_000126,FDR_024,13/08/2003 20:00,14/08/2003 01:00,HV trip – limited historical detail
EVT_000127,FDR_025,23/08/2003 17:00,24/08/2003 05:00,HV trip – limited historical detail
EVT_000128,FDR_025,08/08/2003 07:00,08/08/2003 09:00,Foil balloon contact on overhead line
EVT_000129,FDR_020,11/07/2003 04:00,11/07/2003 08:00,HV trip – limited historical detail
EVT_000130,FDR_016,03/10/2003 20:00,04/10/2003 04:00,HV trip – limited historical detail
EVT_000131,FDR_021,29/11/2003 06:00,29/11/2003 15:00,HV trip – limited historical detail
EVT_000132,FDR_017,10/04/2003 20:00,11/04/2003 10:00,HV trip – limited historical detail
EVT_000133,FDR_013,14/06/2003 04:00,14/06/2003 08:00,Conductor damage mid span
EVT_000134,FDR_004,12/11/2003 14:00,13/11/2003 04:00,HV trip – limited historical detail
EVT_000135,FDR_019,22/01/2003 20:00,23/01/2003 06:00,UG cable insulation breakdown
EVT_000136,FDR_007,05/06/2003 20:00,06/06/2003 03:00,HV trip – limited historical detail
EVT_000137,FDR_016,26/10/2003 22:00,27/10/2003 11:00,Tree contact on overhead line during high winds
EVT_000138,FDR_012,23/03/2003 14:00,23/03/2003 22:00,HV trip – limited historical detail
EVT_000139,FDR_024,26/01/2003 21:00,27/01/2003 03:00,UG cable insulation breakdown
EVT_000140,FDR_001,18/04/2003 20:00,19/04/2003 00:00,HV trip – limited historical detail
EVT_000141,FDR_019,21/09/2003 12:00,21/09/2003 19:00,HV trip – limited historical detail
EVT_000142,FDR_019,28/12/2003 19:00,28/12/2003 23:00,HV trip – limited historical detail
EVT_000143,FDR_011,22/06/2003 06:00,22/06/2003 17:00,Cable joint failure suspected
EVT_000144,FDR_025,14/07/2003 22:00,15/07/2003 01:00,HV trip – limited historical detail
EVT_000145,FDR_018,26/10/2003 18:00,27/10/2003 05:00,Conductor damage mid span
EVT_000146,FDR_023,26/02/2003 00:00,26/02/2003 08:00,Insulator failure reported on cross-arm
EVT_000147,FDR_004,09/03/2003 10:00,09/03/2003 21:00,HV trip – limited historical detail
EVT_000148,FDR_015,12/01/2003 01:00,12/01/2003 03:00,HV trip – limited historical detail
EVT_000149,FDR_006,12/09/2003 23:00,13/09/2003 07:00,Tree contact on overhead line during high winds
EVT_000149_DUP,FDR_006,12/09/2003 23:02,13/09/2003 07:00,Duplicate trip record from control system
EVT_000150,FDR_004,25/08/2003 02:00,25/08/2003 13:00,"Storm-related outage, multiple spans affected"
EVT_000151,FDR_005,19/08/2003 18:00,20/08/2003 03:00,HV trip – limited historical detail
EVT_000152,FDR_003,17/05/2003 19:00,18/05/2003 00:00,HV trip – limited historical detail
EVT_000153,FDR_012,01/03/2003 07:00,01/03/2003 16:00,"HV trip – cause unclear, no defects found"
EVT_000154,FDR_023,24/05/2003 02:00,24/05/2003 15:00,UG cable strike during excavation works
EVT_000155,FDR_008,08/07/2003 10:00,08/07/2003 18:00,"HV trip – cause unclear, no defects found"
EVT_000156,FDR_003,29/01/2003 03:00,29/01/2003 05:00,HV trip – limited historical detail
EVT_000157,FDR_017,06/01/2003 17:00,07/01/2003 05:00,Squirrel on cross-arm causing fault
EVT_000158,FDR_023,18/10/2003 05:00,18/10/2003 15:00,Unknown cause – reset successful
EVT_000158_DUP,FDR_023,18/10/2003 05:02,18/10/2003 15:00,Duplicate trip record from control system
EVT_000159,FDR_015,10/01/2003 02:00,10/01/2003 07:00,HV trip – limited historical detail
EVT_000160,FDR_022,26/08/2003 10:00,26/08/2003 12:00,Insulator failure reported on cross-arm
EVT_000161,FDR_018,01/11/2003 19:00,02/11/2003 00:00,UG cable strike during excavation works
EVT_000162,FDR_021,26/11/2003 18:00,26/11/2003 23:00,Insulator failure reported on cross-arm
EVT_000163,FDR_003,17/02/2003 15:00,18/02/2003 05:00,HV trip – limited historical detail
EVT_000164,FDR_011,02/10/2003 17:00,03/10/2003 05:00,"HV trip – cause unclear, no defects found"
EVT_000164_DUP,FDR_011,02/10/2003 17:02,03/10/2003 05:00,Duplicate trip record from control system
EVT_000165,FDR_022,07/03/2003 04:00,07/03/2003 12:00,"HV trip – cause unclear, no defects found"
EVT_000166,FDR_024,04/03/2003 08:00,04/03/2003 11:00,HV trip – limited historical detail
EVT_000167,FDR_019,24/05/2004 10:00,24/05/2004 13:00,HV trip – limited historical detail
EVT_000168,FDR_019,28/01/2004 16:00,28/01/2004 23:00,HV trip – limited historical detail
EVT_000169,FDR_010,24/08/2004 21:00,25/08/2004 06:00,HV trip – limited historical detail
EVT_000170,FDR_006,19/09/2004 21:00,20/09/2004 02:00,HV trip – limited historical detail
EVT_000171,FDR_008,02/08/2004 23:00,03/08/2004 13:00,HV trip – limited historical detail
EVT_000172,FDR_001,23/04/2004 14:00,23/04/2004 21:00,HV trip – limited historical detail
EVT_000173,FDR_025,29/01/2004 23:00,30/01/2004 03:00,HV trip – limited historical detail
EVT_000174,FDR_012,30/05/2004 04:00,30/05/2004 11:00,HV trip – limited historical detail
EVT_000175,FDR_006,12/01/2004 17:00,12/01/2004 20:00,Insulator failure reported on cross-arm
EVT_000176,FDR_018,30/09/2004 16:00,30/09/2004 17:00,HV trip – limited historical detail
EVT_000177,FDR_022,26/09/2004 16:00,26/09/2004 22:00,Conductor damage mid span
EVT_000177_DUP,FDR_022,26/09/2004 16:02,26/09/2004 22:00,Duplicate trip record from control system
EVT_000178,FDR_023,05/11/2004 08:00,05/11/2004 12:00,Unknown cause – reset successful
EVT_000179,FDR_017,22/10/2004 00:00,22/10/2004 09:00,Insulator failure reported on cross-arm
EVT_000180,FDR_016,10/01/2004 12:00,11/01/2004 02:00,Conductor damage mid span
EVT_000181,FDR_015,24/05/2004 04:00,24/05/2004 17:00,Insulator failure reported on cross-arm
EVT_000182,FDR_011,08/02/2004 06:00,08/02/2004 12:00,HV trip – limited historical detail
EVT_000183,FDR_022,28/07/2004 01:00,28/07/2004 14:00,Unknown cause – reset successful
EVT_000184,FDR_013,02/03/2004 18:00,03/03/2004 03:00,HV trip – limited historical detail
EVT_000185,FDR_002,22/04/2004 16:00,23/04/2004 05:00,"Storm-related outage, multiple spans affected"
EVT_000186,FDR_024,13/04/2004 05:00,13/04/2004 10:00,"Storm-related outage, multiple spans affected"
EVT_000187,FDR_019,22/02/2004 00:00,22/02/2004 05:00,Swan strike mid span over river
EVT_000187_DUP,FDR_019,22/02/2004 00:02,22/02/2004 05:00,Duplicate trip record from control system
EVT_000188,FDR_022,19/07/2004 13:00,20/07/2004 03:00,Unknown cause – reset successful
EVT_000189,FDR_025,10/09/2004 12:00,10/09/2004 15:00,"HV trip – cause unclear, no defects found"
EVT_000190,FDR_022,14/02/2004 11:00,14/02/2004 15:00,"HV trip – cause unclear, no defects found"
EVT_000191,FDR_014,29/03/2004 19:00,30/03/2004 06:00,HV trip – limited historical detail
EVT_000192,FDR_019,16/05/2004 18:00,16/05/2004 21:00,Cable joint failure suspected
EVT_000193,FDR_018,21/01/2004 09:00,21/01/2004 14:00,Cable joint failure suspected
EVT_000194,FDR_012,13/02/2004 08:00,13/02/2004 10:00,Foil balloon contact on overhead line
EVT_000195,FDR_017,18/12/2004 19:00,19/12/2004 03:00,HV trip – limited historical detail
EVT_000196,FDR_018,31/07/2004 08:00,31/07/2004 18:00,Insulator failure reported on cross-arm
EVT_000197,FDR_019,22/08/2004 13:00,22/08/2004 17:00,Conductor damage mid span
EVT_000198,FDR_011,25/05/2004 16:00,26/05/2004 04:00,HV trip – limited historical detail
EVT_000199,FDR_023,01/07/2004 11:00,01/07/2004 17:00,Unknown cause – reset successful
EVT_000200,FDR_002,29/02/2004 20:00,01/03/2004 07:00,HV trip – limited historical detail
EVT_000201,FDR_009,07/04/2004 16:00,08/04/2004 04:00,Cable joint failure suspected
EVT_000202,FDR_025,14/10/2004 18:00,14/10/2004 22:00,Unknown cause – reset successful
EVT_000203,FDR_012,05/08/2004 22:00,06/08/2004 04:00,Swan strike mid span over river
EVT_000204,FDR_021,21/02/2004 12:00,21/02/2004 21:00,Conductor damage mid span
EVT_000205,FDR_003,20/05/2004 09:00,20/05/2004 11:00,HV trip – limited historical detail
EVT_000206,FDR_021,03/07/2004 22:00,04/07/2004 00:00,Tree contact on overhead line during high winds
EVT_000207,FDR_014,26/02/2004 21:00,27/02/2004 08:00,Tree contact on overhead line during high winds
EVT_000208,FDR_017,02/05/2004 01:00,02/05/2004 05:00,HV trip – limited historical detail
EVT_000209,FDR_018,21/03/2004 03:00,21/03/2004 07:00,Cable joint failure suspected
EVT_000210,FDR_006,13/06/2004 01:00,13/06/2004 04:00,Bird strike on overhead conductor
EVT_000211,FDR_009,09/11/2005 02:00,09/11/2005 15:00,HV trip – limited historical detail
EVT_000212,FDR_020,15/02/2005 11:00,15/02/2005 14:00,"Storm-related outage, multiple spans affected"
EVT_000213,FDR_014,21/08/2005 01:00,21/08/2005 02:00,HV trip – limited historical detail
EVT_000214,FDR_007,18/04/2005 16:00,19/04/2005 05:00,"HV trip – cause unclear, no defects found"
EVT_000215,FDR_013,28/08/2005 17:00,29/08/2005 01:00,HV trip – limited historical detail
EVT_000216,FDR_008,26/02/2005 19:00,27/02/2005 02:00,HV trip – limited historical detail
EVT_000217,FDR_012,22/02/2005 20:00,22/02/2005 21:00,"Storm-related outage, multiple spans affected"
EVT_000218,FDR_015,23/09/2005 08:00,23/09/2005 17:00,UG cable insulation breakdown
EVT_000219,FDR_018,25/06/2005 00:00,25/06/2005 03:00,Tree contact on overhead line during high winds
EVT_000220,FDR_017,25/05/2005 09:00,25/05/2005 22:00,"Storm-related outage, multiple spans affected"
EVT_000221,FDR_019,29/08/2005 10:00,29/08/2005 21:00,HV trip – limited historical detail
EVT_000222,FDR_003,19/04/2005 22:00,20/04/2005 07:00,UG cable insulation breakdown
EVT_000223,FDR_006,18/08/2005 10:00,18/08/2005 11:00,HV trip – limited historical detail
EVT_000224,FDR_005,17/06/2005 05:00,17/06/2005 10:00,Bird strike on overhead conductor
EVT_000224_DUP,FDR_005,17/06/2005 05:02,17/06/2005 10:00,Duplicate trip record from control system
EVT_000225,FDR_005,18/10/2005 02:00,18/10/2005 08:00,Unknown cause – reset successful
EVT_000226,FDR_020,14/07/2005 15:00,14/07/2005 20:00,HV trip – limited historical detail
EVT_000227,FDR_025,12/07/2005 08:00,12/07/2005 18:00,HV trip – limited historical detail
EVT_000228,FDR_020,26/08/2005 01:00,26/08/2005 15:00,HV trip – limited historical detail
EVT_000229,FDR_020,03/02/2005 10:00,03/02/2005 17:00,HV trip – limited historical detail
EVT_000230,FDR_007,30/03/2005 10:00,30/03/2005 21:00,Unknown cause – reset successful
EVT_000231,FDR_011,04/08/2005 19:00,05/08/2005 03:00,HV trip – limited historical detail
EVT_000232,FDR_002,13/04/2005 21:00,14/04/2005 10:00,HV trip – limited historical detail
EVT_000233,FDR_025,13/03/2005 05:00,13/03/2005 15:00,Cable joint failure suspected
EVT_000234,FDR_017,11/05/2005 17:00,12/05/2005 02:00,UG cable strike during excavation works
EVT_000235,FDR_012,29/09/2005 07:00,29/09/2005 08:00,Squirrel on cross-arm causing fault
EVT_000236,FDR_015,23/01/2005 04:00,23/01/2005 15:00,HV trip – limited historical detail
EVT_000237,FDR_006,18/02/2005 23:00,19/02/2005 03:00,HV trip – limited historical detail
EVT_000238,FDR_017,08/03/2005 05:00,08/03/2005 16:00,Insulator failure reported on cross-arm
EVT_000239,FDR_002,07/02/2005 15:00,08/02/2005 02:00,Cable joint failure suspected
EVT_000239_DUP,FDR_002,07/02/2005 15:02,08/02/2005 02:00,Duplicate trip record from control system
EVT_000240,FDR_019,15/07/2005 13:00,15/07/2005 19:00,HV trip – limited historical detail
EVT_000240_DUP,FDR_019,15/07/2005 13:02,15/07/2005 19:00,Duplicate trip record from control system
EVT_000241,FDR_017,23/05/2005 18:00,24/05/2005 03:00,HV trip – limited historical detail
EVT_000242,FDR_023,03/11/2005 17:00,03/11/2005 23:00,HV trip – limited historical detail
EVT_000243,FDR_015,14/05/2005 17:00,14/05/2005 23:00,Foil balloon contact on overhead line
EVT_000243_DUP,FDR_015,14/05/2005 17:02,14/05/2005 23:00,Duplicate trip record from control system
EVT_000244,FDR_006,16/08/2005 00:00,16/08/2005 08:00,Swan strike mid span over river
EVT_000245,FDR_006,04/08/2005 20:00,05/08/2005 09:00,UG cable insulation breakdown
EVT_000246,FDR_016,01/10/2005 11:00,02/10/2005 00:00,UG cable insulation breakdown
EVT_000247,FDR_018,13/06/2005 16:00,13/06/2005 21:00,Unknown cause – reset successful
EVT_000248,FDR_006,01/11/2005 19:00,01/11/2005 20:00,Bird strike on overhead conductor
EVT_000249,FDR_004,12/11/2005 15:00,13/11/2005 03:00,HV trip – limited historical detail
EVT_000250,FDR_004,15/05/2005 19:00,16/05/2005 09:00,Conductor damage mid span
EVT_000250_DUP,FDR_004,15/05/2005 19:02,16/05/2005 09:00,Duplicate trip record from control system
EVT_000251,FDR_009,02/02/2005 17:00,03/02/2005 06:00,"HV trip – cause unclear, no defects found"
EVT_000252,FDR_002,09/11/2005 13:00,10/11/2005 00:00,HV trip – limited historical detail
EVT_000253,FDR_007,10/05/2005 15:00,10/05/2005 17:00,HV trip – limited historical detail
EVT_000253_DUP,FDR_007,10/05/2005 15:02,10/05/2005 17:00,Duplicate trip record from control system
EVT_000254,FDR_020,16/06/2005 15:00,17/06/2005 02:00,Conductor damage mid span
EVT_000255,FDR_008,18/06/2005 02:00,18/06/2005 13:00,Unknown cause – reset successful
EVT_000256,FDR_009,07/12/2005 05:00,07/12/2005 07:00,HV trip – limited historical detail
EVT_000257,FDR_010,26/04/2006 10:00,26/04/2006 12:00,Insulator failure reported on cross-arm
EVT_000258,FDR_002,26/10/2006 12:00,26/10/2006 14:00,Tree contact on overhead line during high winds
EVT_000259,FDR_016,12/07/2006 02:00,12/07/2006 04:00,HV trip – limited historical detail
EVT_000259_DUP,FDR_016,12/07/2006 02:02,12/07/2006 04:00,Duplicate trip record from control system
